code,name_vi,name_en
A30.1,Bệnh phong thể củ,Tuberculoid leprosy
A30.2,Bệnh phong thể củ trung gian,Borderline tuberculoid leprosy
A30.3,Bệnh phong thể trung gian,Borderline leprosy
A30.4,Bệnh phong thể u trung gian,Borderline lepromatous leprosy
A30.5,Bệnh phong thể u,Lepromatous leprosy
A30.8,Bệnh phong thể khác,Other forms of leprosy
A30.9,"Bệnh phong, không xác định","Leprosy, unspecified"
A31,Nhiễm trùng do mycobacteria khác,Infection due to other mycobacteria
A31.0,Bệnh do nhiễm mycobacteria ở phổi,Pulmonary mycobacterial infection
A31.1,Bệnh do nhiễm mycobacteria ở da,Cutaneous mycobacterial infection
A31.8,Bệnh do nhiễm mycobacteria khác,Other mycobacterial infections
A31.9,"Bệnh do nhiễm mycobacteria, không xác định","Mycobacterial infection, unspecified"
A32,Bệnh do nhiễm listeria,Listeriosis
A32.0,Nhiễm listeria ở da,Cutaneous listeriosis
A32.1,Bệnh viêm màng não và/hoặc bệnh viêm não - màng não do listeria,Listerial meningitis and meningoencephaliti s
A32.7,Nhiễm trùng hệ thống do listeria,Listerial sepsis
A32.8,Thể khác của bệnh nhiễm listeria,Other forms of listeriosis
A32.9,"Bệnh do nhiễm listeria, không xác định","Listeriosis, unspecified"
A33,Bệnh uốn ván sơ sinh,Tetanus neonatorum
A34,Bệnh uốn ván sản khoa,Obstetrical tetanus
A34,sản khoa,Obstetrical tetanus Bệnh uốn ván
A35,Bệnh uốn ván khác,Other tetanus
A36,Bệnh bạch hầu,Diphtheria
A36.0,Bệnh bạch hầu họng,Pharyngeal diphtheria
A36.1,Bệnh bạch hầu thể mũi - họng,Nasopharyngeal diphtheria
A36.2,Bệnh bạch hầu thanh quản,Laryngeal diphtheria
A36.3,Bệnh bạch hầu da,Cutaneous diphtheria
A36.8,Bệnh bạch hầu khác,Other diphtheria
A36.9,"Bệnh bạch hầu, không xác định","Diphtheria, unspecified"
A37,Bệnh ho gà,Whooping cough
A37.0,Bệnh ho gà do Bordetella pertussis,Whooping cough due to Bordetella pertussis
A37.1,Bệnh ho gà do Bordetella parapertussis,Whooping cough due to Bordetella parapertussis
A37.8,Bệnh ho gà do Bordetella khác,Whooping cough due to other Bordetella species
A37.9,"Bệnh ho gà, không xác định","Whooping cough, unspecified"
A38,Bệnh sốt tinh hồng nhiệt,Scarlet fever
A39,Nhiễm trùng do não mô cầu,Meningococcal infection
A39.0,Bệnh viêm màng não do não mô cầu (G01*),Meningococcal meningitis (G01*)
A39.1,Hội chứng Waterhouse- Friderichsen (E35.1*),Waterhouse- Friderichsen syndrome (E35.1*)
A39.2,Nhiễm khuẩn huyết não mô cầu cấp tính,Acute meningococcaemia
A39.3,Nhiễm khuẩn huyết não mô cầu mạn tính,Chronic meningococcaemia
A39.4,"Nhiễm khuẩn huyết do não mô cầu, không xác định","Meningococcaemia, unspecified"
A39.5,Bệnh tim do não mô cầu,Meningococcal heart disease
A39.8,Nhiễm khuẩn não mô cầu khác,Other meningococcal infections
A39.9,"Nhiễm não mô cầu, không xác định","Meningococcal infection, unspecified"
A40,Nhiễm trùng hệ thống do liên cầu khuẩn,Streptococcal sepsis Use additional code
A40.0,"Nhiễm trùng hệ thống do liên cầu, nhóm A","Sepsis due to streptococcus, group A"
A40.1,"Nhiễm trùng hệ thống do liên cầu, nhóm B","Sepsis due to streptococcus, group B"
A40.2,"Nhiễm trùng hệ thống do liên cầu, nhóm D và/hoặc enterococcus","Sepsis due to streptococcus, group D and enterococcus"
A40.3,Nhiễm trùng hệ thống do phế cầu khuẩn gây bệnh [Streptococcus,Sepsis due to Streptococcus pneumoniae
A40.8,Nhiễm trùng hệ thống do liên cầu khác,Other streptococcal sepsis
A40.9,"Nhiễm trùng hệ thống do liên cầu, không xác định","Streptococcal sepsis, unspecified"
A41,Nhiễm trùng hệ thống khác,Other sepsis
A41,"Nhiễm trùng hệ thống khác Nếu muốn, có thể",Other sepsis
A41.0,Nhiễm trùng hệ thống do tụ cầu vàng [Staphylococcus aureus],Sepsis due to Staphylococcus aureus
A41.1,Nhiễm trùng hệ thống do tụ cầu khuẩn xác định khác,Sepsis due to other specified staphylococcus
A41.2,Nhiễm trùng hệ thống do tụ cầu khuẩn không xác định,Sepsis due to unspecified staphylococcus
A41.3,Nhiễm trùng hệ thống do vi khuẩn Haemophilus cúm [H. influenzae],Sepsis due to Haemophilus influenzae
A41.4,Nhiễm trùng hệ thống do vi khuẩn kỵ khí,Sepsis due to anaerobes
A41.5,Nhiễm trùng hệ thống do vi sinh vật Gram âm khác,Sepsis due to other Gram-negative organisms
A41.8,Nhiễm trùng hệ thống xác định khác,Other specified sepsis
A41.9,"Nhiễm trùng hệ thống, không xác định","Sepsis, unspecified"
A42,Bệnh do nhiễm actinomyces,Actinomycosis
A42.0,Bệnh do nhiễm actinomyces ở phổi,Pulmonary actinomycosis
A42.1,Bệnh do nhiễm actinomyces ở bụng,Abdominal actinomycosis
A42.2,Bệnh do nhiễm actinomyces ở mặt - cổ,Cervicofacial actinomycosis
A42.7,Nhiễm trùng hệ thống do actinomyces,Actinomycotic sepsis
A42.8,Bệnh do actinomyces thể khác,Other forms of actinomycosis
A42.9,"Bệnh do actinomyces, không xác định","Actinomycosis, unspecified"
A43,Bệnh do nhiễm nocardia,Nocardiosis
A43.0,Bệnh do nhiễm nocardia ở phổi,Pulmonary nocardiosis
A43.1,Bệnh do nhiễm nocardia ở da,Cutaneous nocardiosis
